childid,treat,absenteeism,cgender
411,1,0,0
412,1,0,0
413,1,0,1
414,1,0,1
416,1,0,1
418,1,0,1
419,1,0,0
420,1,0,1
422,1,0,1
423,1,0,0
424,0,0,0
425,0,1,0
426,0,0,1
427,0,0,1
429,1,0,1
430,1,0,0
431,1,1,0
433,0,0,0
434,0,1,0
435,0,0,1
436,0,0,1
453,0,0,0
454,0,0,1
455,0,0,0
457,1,0,1
458,1,0,0
459,1,0,0
460,1,0,1
461,1,0,1
462,1,0,1
463,1,0,0
465,0,0,0
466,0,0,0
467,0,1,1
468,0,0,1
470,1,0,1
471,1,0,0
472,1,0,0
473,1,0,1
475,1,0,0
477,1,0,1
478,1,0,1
479,1,0,0
480,1,1,0
481,0,1,0
482,0,0,1
484,0,0,1
490,1,0,1
492,1,0,1
495,1,1,1
496,0,0,1
497,1,1,0
498,0,0,1
499,0,0,0
500,0,0,0
505,1,0,1
506,1,0,0
512,1,0,0
516,1,0,0
518,1,0,0
519,1,1,0
520,1,0,1
522,1,0,1
523,1,1,0
525,1,1,1
526,1,0,0
527,1,1,0
535,1,0,1
536,0,0,0
537,0,0,0
538,0,0,1
539,0,0,1
540,0,0,0
541,0,1,1
542,0,1,0
543,0,0,1
544,0,0,1
545,0,0,1
548,0,0,0
549,0,0,0
552,1,1,1
553,1,0,1
556,1,1,0
557,1,0,1
558,1,0,1
560,1,0,0
566,0,1,1
567,1,0,1
568,1,0,1
573,1,0,0
574,0,0,1
575,0,0,1
577,0,0,1
578,0,1,1
579,0,0,0
580,1,0,1
582,0,0,0
583,0,0,0
584,0,0,1
586,0,1,1
587,0,0,0
588,0,1,1
589,0,1,0
590,0,1,1
591,0,1,0
592,1,1,0
593,1,0,1
595,1,0,1
596,0,0,1
597,0,0,0
598,0,0,1
600,1,0,1
601,1,1,0
602,1,0,1
603,1,1,0
604,1,1,0
605,1,0,1
606,1,0,1
611,0,0,0
612,0,0,1
613,0,1,1
614,0,0,0
620,1,0,0
621,1,0,0
623,1,0,1
624,1,0,1
625,0,0,1
626,0,0,0
627,0,0,1
628,0,0,0
629,1,0,1
630,1,0,0
631,1,0,0
632,1,0,1
637,0,0,0
638,0,0,0
639,0,0,1
640,0,0,1
642,1,0,0
644,1,0,1
653,0,0,1
660,0,0,1
661,0,0,0
662,0,0,1
663,0,0,1
664,0,0,0
667,1,0,1
668,1,0,1
669,1,0,0
671,0,0,1
672,0,0,0
673,1,0,1
674,1,0,1
675,1,0,1
676,1,0,0
677,1,0,0
678,1,1,0
679,1,0,1
680,1,1,0
681,1,1,1
682,0,0,1
683,0,1,0
684,0,0,0
685,0,0,1
691,1,1,1
692,1,1,0
693,1,0,0
724,0,1,1
725,0,0,0
726,0,0,0
727,0,0,1
729,1,1,0
730,1,0,1
731,1,0,1
733,0,1,1
734,0,1,1
735,0,0,0
736,0,1,1
737,0,0,0
738,0,1,1
739,0,1,0
740,0,0,1
745,1,0,1
746,1,0,0
747,1,0,0
749,0,0,0
751,0,0,0
752,0,0,0
753,1,0,0
754,1,0,1
755,1,0,1
756,1,0,0
758,0,1,0
759,0,0,1
760,1,0,1
761,1,0,1
762,1,0,0
763,1,0,0
765,1,0,1
766,0,0,1
767,0,0,0
768,0,0,1
769,0,0,0
771,0,1,0
772,1,0,0
774,1,0,1
775,0,0,0
776,0,0,0
777,0,0,0
779,0,0,1
780,0,0,1
781,1,0,1
790,1,1,1
791,1,1,0
792,1,0,1
793,1,0,1
794,1,0,1
795,1,0,0
796,1,1,0
800,0,0,0
802,0,0,1
804,0,0,1
808,1,0,1
809,0,0,1
811,1,1,0
812,1,1,0
813,1,0,0
815,1,0,0
816,1,0,0
818,1,0,1
822,0,1,1
823,0,0,0
824,0,0,1
825,0,0,0
828,0,0,1
829,0,1,1
830,0,1,0
831,0,0,0
832,1,0,0
833,1,0,0
834,1,0,1
835,1,0,1
840,0,0,1
841,0,0,0
842,0,0,1
843,0,0,0
844,1,0,0
849,1,0,1
852,1,0,0
853,1,0,0
854,1,0,0
857,0,1,0
858,0,0,0
859,1,1,1
860,0,1,1
861,0,1,1
862,1,1,1
863,1,0,0
864,1,0,0
865,0,0,1
874,0,0,0
875,0,0,0
876,0,0,1
877,0,1,1
878,0,1,1
879,0,0,0
880,0,1,0
881,1,0,0
882,1,0,0
888,0,0,1
889,0,0,0
890,0,0,0
891,0,0,1
892,1,1,0
894,1,1,1
895,1,0,1
897,1,0,0
898,1,0,0
899,1,0,1
901,0,0,1
902,0,1,0
903,0,0,0
912,0,0,0
913,0,1,1
914,0,1,0
915,0,0,1
916,1,0,0
918,1,0,0
920,1,0,0
922,1,0,1
924,0,0,0
925,0,0,1
926,0,0,1
927,1,0,0
928,1,0,0
929,0,0,0
931,0,0,0
932,1,0,1
933,1,0,1
934,1,1,0
935,1,1,0
936,0,0,0
937,0,0,0
938,1,0,0
939,1,0,1
940,1,0,0
941,1,0,0
946,1,0,0
947,1,0,1
948,1,1,0
949,1,0,1
950,1,0,1
951,1,0,1
952,1,0,0
953,1,0,0
973,0,0,1
991,1,0,1
994,1,0,0
1000,1,0,1
1001,1,0,0
1002,1,1,1
1003,1,1,0
1004,0,1,1
1009,1,0,1
1010,1,0,1
1011,1,0,0
1012,1,0,0
1014,0,0,1
1017,0,0,0
1019,0,0,1
1020,0,0,0
1022,1,0,0
1023,1,0,0
1024,1,0,1
1025,0,0,0
1026,0,0,1
1028,0,0,1
1029,0,0,1
1030,0,0,1
1031,1,0,0
1032,1,0,0
1033,1,0,1
1035,1,0,0
1037,1,0,0
1038,1,0,1
1041,1,1,1
1042,1,1,0
1043,1,0,0
1044,1,0,1
1045,1,0,1
1046,1,0,0
1047,1,0,0
1048,1,0,0
1050,1,0,1
1052,0,1,1
1053,0,1,1
1054,0,0,0
1055,0,0,0
1056,1,0,1
1057,1,1,0
1062,0,0,1
1063,1,0,0
1064,1,0,1
1068,0,0,0
1070,0,0,0
1071,0,0,1
1076,1,0,1
1077,0,1,0
1078,0,0,1
1079,1,0,0
1089,1,0,0
1092,1,0,1
1093,1,0,0
1094,1,0,1
1097,1,0,1
1098,1,0,0
1099,1,0,0
1100,0,0,1
1101,0,1,0
1108,1,0,0
1109,1,0,1
1110,0,0,0
1111,0,0,1
1112,0,0,1
1113,0,0,0
1116,0,0,0
1117,0,0,1
1118,0,0,0
1119,0,0,1
1120,1,1,1
1121,1,0,0
1122,1,0,0
1123,1,1,1
1124,1,1,0
1125,1,1,1
1126,1,1,1
1127,1,1,0
1133,1,1,0
1134,0,1,1
1135,0,1,1
1137,0,1,1
1146,0,0,0
1147,1,0,0
1148,1,1,0
1149,1,0,1
1150,1,0,1
1152,0,0,1
1154,0,0,0
1155,0,0,1
1156,0,0,1
1162,1,0,1
1164,1,0,1
1165,1,0,0
1166,1,0,0
1167,1,0,1
1169,1,0,0
1172,1,0,0
1173,1,0,1
1174,0,0,0
1175,0,1,1
1176,0,1,1
1177,0,0,1
1178,0,0,0
1179,1,0,1
1180,1,0,0
1181,1,1,0
1183,1,0,0
1185,1,1,1
1186,1,0,0
1187,0,0,0
1188,0,1,1
1189,0,0,1
1190,0,0,0
1191,0,0,0
1192,0,0,1
1205,0,1,1
1206,0,0,1
1207,0,1,0
1208,0,1,1
1210,1,1,0
1211,1,1,0
1212,1,0,1
1227,1,0,0
1229,1,0,1
1230,1,0,0
1231,1,1,0
1232,1,0,1
1276,0,0,1
1277,1,1,0
1278,0,0,1
1279,1,0,0
1326,1,0,1
1328,1,0,1
1373,1,0,1
1390,1,1,0
1411,1,0,0
1419,1,0,1
1426,0,0,0
1432,1,0,1
1448,1,0,0
1463,1,0,0
1474,1,0,1
1475,1,0,1
1477,1,0,0
1496,1,0,0
1521,0,0,1
1530,1,0,0
1534,1,0,0
1605,1,0,1
1618,1,1,1
1624,0,0,0
1635,0,0,1
1642,0,0,1
1643,0,0,1
1644,0,0,1
1657,1,0,0
1713,1,1,1
1714,1,0,1
1715,1,0,0
1716,1,0,0
1732,1,0,1
1839,1,0,0
1840,1,0,0
1870,1,0,1
1871,0,0,0
1873,1,0,0
1875,1,0,1
1898,1,0,1
1899,0,1,0
1901,1,0,0
1912,1,0,1
1913,1,1,1
1914,1,0,0
1915,1,0,0
1916,0,1,1
1934,1,0,1
1940,1,0,1
1962,0,0,0
2028,1,0,0
2039,1,0,0
2080,1,0,1
2113,0,0,0
2144,0,1,1
2147,1,1,1
2156,0,0,0
2162,0,0,0
2238,1,0,0
2278,1,1,1
2300,1,0,1
2346,0,1,0
2379,1,0,0
2381,1,0,0
2382,1,0,0
2383,1,0,1
2384,1,0,1
2426,1,0,1
2528,1,0,1
2579,0,1,1
2713,0,0,0
2714,0,0,1
2715,0,0,1
2716,1,0,0
2717,1,0,0
2718,1,0,0
2719,1,1,0
2720,1,0,1
2721,1,0,1
2722,1,0,1
2723,1,0,1
2731,1,0,1
2732,1,0,0
2733,1,0,0
2734,1,1,1
2736,0,0,1
2737,0,0,0
2738,0,1,0
2739,0,0,0
2740,1,0,1
2741,1,0,1
2742,1,0,0
2743,1,0,0
2744,1,0,0
2745,1,1,1
2747,1,0,0
2748,1,0,0
2750,1,0,1
2754,1,0,1
2756,1,0,1
2757,1,0,0
2769,0,0,1
2770,0,1,1
2771,0,0,0
2781,1,0,1
2782,1,0,0
2783,1,0,1
2784,1,0,0
2785,0,0,1
2786,0,0,1
2787,0,0,0
2788,0,0,0
2789,0,0,1
2791,0,0,0
2792,0,0,1
2797,0,0,0
2798,0,0,1
2799,0,0,1
2801,1,0,1
2802,1,0,0
2803,1,0,0
2805,0,1,1
2807,1,0,1
2808,1,0,0
2811,1,0,0
2812,1,0,1
2813,1,0,0
2814,1,0,1
2815,1,0,1
2816,1,0,0
2817,1,0,0
2818,1,0,1
2820,0,0,0
2834,1,0,1
2835,1,0,0
2865,0,0,1
2866,0,0,0
2867,0,0,0
2872,1,0,1
2873,1,0,1
2874,1,0,0
2875,1,0,0
2876,1,0,0
2877,1,0,0
2878,1,0,1
2879,1,0,1
2880,1,0,1
2881,1,0,1
2882,1,0,0
2883,1,0,0
2884,0,0,0
2894,0,0,1
2895,0,0,1
2896,0,0,0
2897,0,0,0
2907,1,0,0
2909,1,0,1
2910,1,0,1
2911,1,0,0
2912,1,0,0
2913,1,0,1
2914,1,0,0
2919,1,0,0
2929,0,0,1
2934,0,0,1
2963,0,0,0
2980,0,0,0
2982,0,0,0
2983,0,0,1
2984,0,0,1
2994,0,0,1
2995,0,0,1
2996,0,1,0
2997,0,0,1
2998,0,0,1
3001,0,0,0
3003,0,0,0
3011,1,1,1
3012,1,0,1
3013,1,0,0
3014,1,1,0
3015,0,0,1
3016,0,0,1
3017,0,1,1
3018,0,1,1
3019,0,0,0
3021,0,0,0
3022,0,1,0
3030,0,1,0
3031,0,0,0
3032,0,0,1
3033,0,0,1
3034,0,0,1
3036,0,0,0
3037,0,0,0
3045,1,1,1
3046,1,0,0
3047,0,0,0
3048,0,0,0
3051,0,0,0
3052,0,1,0
3053,0,0,1
3054,0,0,1
3057,1,0,1
3058,1,0,1
3059,1,0,0
3060,1,0,0
3061,1,0,1
3062,1,0,1
3063,1,0,0
3064,1,0,1
3065,1,0,0
3066,1,0,1
3067,1,0,0
3068,1,0,0
3109,1,0,1
3119,0,0,0
3121,1,0,0
3128,1,0,1
3130,1,0,0
3132,1,1,0
3133,1,0,1
3136,1,0,1
3139,0,0,1
3140,0,0,0
3141,0,0,0
3148,0,0,0
3149,1,0,1
3150,1,1,1
3151,1,1,0
3152,1,0,0
3155,1,1,1
3156,1,0,0
3163,0,0,0
3166,1,1,1
3167,1,0,0
3168,1,0,1
3182,0,0,0
3189,0,0,1
3197,1,0,1
3198,1,0,0
3199,1,0,0
3200,1,0,1
3210,0,1,1
3212,0,0,0
3218,1,0,1
3219,0,0,1
3221,0,0,0
3227,0,0,0
3229,0,0,1
3238,1,0,1
3239,1,0,0
3245,1,0,1
3246,1,0,1
3247,1,0,1
3248,1,0,1
3249,1,0,0
3250,1,0,0
3286,0,1,1
3287,0,1,1
3288,0,0,0
3291,0,0,0
3300,1,1,1
3301,1,0,1
3302,1,0,0
3327,1,0,1
3329,1,0,0
3330,1,0,0
3332,1,0,0
3334,0,1,0
3336,0,1,1
3417,0,0,0
3418,0,0,1
3419,0,0,1
3420,0,0,0
3440,0,0,1
3441,0,0,0
3459,1,0,1
3460,1,0,0
3461,1,1,1
3462,1,0,1
3469,0,0,1
3470,0,0,0
3486,1,0,1
3489,1,0,0
3490,1,0,0
3492,1,0,1
3494,0,1,1
3496,0,0,1
3505,1,1,1
3506,1,0,1
3507,1,0,0
3508,1,0,0
3511,1,0,0
3512,1,0,1
3513,1,0,0
3514,1,0,1
3532,0,0,1
3534,0,0,0
3559,1,0,1
3560,1,0,1
3561,1,0,0
3563,0,0,1
3564,0,0,0
3566,0,0,0
3567,0,0,0
3572,1,0,1
3574,1,0,1
3576,1,0,0
3578,1,0,0
3590,1,1,1
3591,1,1,1
3592,1,1,0
3594,1,0,0
3616,1,0,1
3617,1,0,1
3618,1,0,0
3619,1,1,0
3620,1,0,1
3621,1,0,1
3622,1,0,0
3623,1,1,0
3624,1,0,1
3625,1,0,1
3626,1,1,0
3627,1,0,0
3629,0,0,1
3631,0,0,0
3632,0,0,0
3633,0,0,1
3643,0,0,0
3645,0,0,0
3647,0,0,1
3650,0,0,1
3687,0,1,0
3689,0,0,0
3728,0,0,1
3729,0,0,0
3731,0,0,0
3732,1,0,0
3733,1,0,1
3734,1,0,1
3735,1,0,0
3736,0,0,0
3737,0,0,1
3738,0,1,1
3740,0,1,1
3741,0,0,1
3742,0,0,0
3743,0,0,0
3761,1,0,1
3762,1,1,1
3763,1,1,0
3764,1,0,0
3771,1,0,1
3781,0,0,0
3782,0,0,1
3800,1,0,0
3804,0,0,1
3806,0,0,0
3807,0,0,1
3810,0,1,0
3812,0,0,1
3813,0,0,1
3814,0,0,0
3815,0,0,0
3827,1,1,1
3829,1,1,1
3832,1,0,1
3833,1,0,1
3834,1,0,0
3835,1,0,0
3836,1,0,1
3837,1,0,1
3838,1,1,0
3839,1,0,0
3840,0,0,0
3841,0,0,0
3842,0,1,1
3843,0,0,1
3853,1,0,1
3854,1,0,1
3855,1,0,0
3856,1,0,0
3861,0,0,0
3863,0,0,0
3865,1,0,1
3866,1,0,0
3870,0,0,0
3871,1,0,0
3872,1,0,1
3873,1,0,1
3874,1,0,0
3893,0,0,0
3895,0,0,1
3896,0,0,1
3897,1,1,1
3898,1,0,0
3900,0,0,0
3908,1,0,1
3911,1,0,0
3965,0,0,1
3966,0,0,1
3967,0,0,0
3968,0,1,0
3975,0,0,0
3977,0,1,1
3978,0,1,1
3979,0,0,0
4033,0,0,1
4034,0,0,1
4035,0,0,0
4036,0,0,0
4054,0,1,1
4055,0,0,1
4056,0,0,0
4057,0,0,0
4082,1,0,0
4083,1,0,0
4084,1,0,1
4085,1,0,1
4096,0,0,1
4097,0,0,1
4099,0,0,0
4105,0,1,0
4110,1,1,1
4111,0,0,1
4112,0,0,0
4113,0,1,1
4114,0,0,0
4151,0,0,1
4152,0,0,1
4153,0,0,1
4154,0,0,0
4169,1,0,1
4170,1,0,1
4171,1,0,0
4172,1,0,0
4180,1,0,0
4182,1,0,0
4183,1,0,1
4203,0,1,0
4224,0,1,1
4225,0,0,0
4226,0,0,0
4261,0,1,1
4306,0,0,1
4307,0,0,0
4308,0,0,0
4316,1,0,0
4317,1,0,1
4318,1,0,1
4320,0,0,0
4321,0,0,1
4322,0,0,1
4361,0,0,1
4362,0,0,0
4363,0,0,1
4364,0,0,0
4394,0,1,0
4535,1,1,1
4545,1,0,0
4546,1,0,1
4547,1,0,0
4548,1,0,0
4655,1,0,1
4786,1,0,1
4787,1,0,1
4788,1,0,0
4808,1,0,1
4810,1,1,1
4811,1,0,1
4816,0,0,1
4817,0,0,0
4818,0,0,0
4819,0,0,1
4823,0,0,0
4824,0,0,0
4825,0,1,1
4827,1,0,1
4828,1,0,0
4829,1,0,1
4841,1,0,1
4842,1,0,1
4843,1,0,0
4844,1,0,0
4868,0,1,1
4890,1,0,0
4913,1,0,1
5139,1,0,1
5140,1,0,0
5141,1,0,0
5152,1,0,0
5209,0,0,0
